Category,Brand,Product,Variant,SKU,Price,Old Price,Currency,Weight,Stock,Units,Visible,Featured,Meta title,Meta keywords,Meta description,Annotation,Description,Images,URL,Garancija,Sifra na artikl,Sifra,BrendID,KategorijaID,Kategorija
Компјутерски компоненти/Графички карти,Cooler Master,CoolerMaster 1-to-3 RGB Splitter Cable for LED Strips,,SE_22796,779.0,0,1,,5,0,1,0,,,CoolerMaster 1-to-3 RGB Splitter Cable for LED Strips  RGB Fans  5pcs 4-Pin Header Computer Cases  CPU Coolers and Radiators RGB Fans  R4-ACCY-RGBS-R2,,<div class="tab-content" id="tab-description" itemprop="description">CoolerMaster 1-to-3 RGB Splitter Cable for LED Strips<br> RGB Fans<br> 5pcs 4-Pin Header Computer Cases<br> CPU Coolers and Radiators RGB Fans<br> R4-ACCY-RGBS-R2 </div>,22796_0-1000x1000.jpg,CoolerMaster-1-to-3-RGB-Splitter-Cable-for-LED-Strips, 30,SE_22796,SE_22796,14,11,Graficki
Компјутерски компоненти/Графички карти,Cooler Master,CoolerMaster Riser Cable PCI-E 3.0 x16 - 300mm,,SE_22794,2449.0,0,1,,110,0,1,0,,,CoolerMaster Riser Cable PCI-E 3.0 x16 300mm  Ultra Durable PCB  Heavy duty shielding  Gold pin connections  Protective ABS casing  Stainless steel-reinforced PCI slot  Ultra-flexible cable sleeves  MCA-U000C-KPCI30-300,,<div class="tab-content" id="tab-description" itemprop="description">CoolerMaster Riser Cable PCI-E 3.0 x16 - 300mm<br> Ultra Durable PCB<br> Heavy duty shielding<br> Gold pin connections<br> Protective ABS casing<br> Stainless steel-reinforced PCI slot<br> Ultra-flexible cable sleeves<br> MCA-U000C-KPCI30-300 </div>,22794_0-1000x1000.jpg,CoolerMaster-Riser-Cable-PCI-E-3.0-x16---300mm, 30,SE_22794,SE_22794,14,11,Graficki
Компјутерски компоненти/Графички карти,Cooler Master,CoolerMaster Riser Cable PCI-E 3.0 x16 - 200mm,,SE_22825,2549.0,0,1,,115,0,1,0,,,CoolerMaster Riser Cable PCI-E 3.0 x16 200mm  Ultra Durable PCB  Heavy duty shielding  Gold pin connections  Protective ABS casing  Stainless steel-reinforced PCI slot  Ultra-flexible cable sleeves  MCA-U000C-KPCI30-200,,<div class="tab-content" id="tab-description" itemprop="description">CoolerMaster Riser Cable PCI-E 3.0 x16 - 200mm<br> Ultra Durable PCB<br> Heavy duty shielding<br> Gold pin connections<br> Protective ABS casing<br> Stainless steel-reinforced PCI slot<br> Ultra-flexible cable sleeves<br> MCA-U000C-KPCI30-200 </div>,22825_0-1000x1000.jpg,CoolerMaster-Riser-Cable-PCI-E-3.0-x16---200mm, 30,SE_22825,SE_22825,14,11,Graficki
Компјутерски компоненти/Графички карти,AFOX,AFOX NVIDIA GT610-PCI-E 1GB DDR3 (64-bit),,SE_17352,2649.0,0,1,,136,0,1,0,,,AFOX NVIDIA GT610-PCI-E 1GB DDR3 (64-bit)  Graphics Engine: NVIDIA Geforce GT 610  Bus Standard: PCI Express 2.0  Video Memory: DDR3 1024MB  64BIT  DVI  HDMI  VGA  LP  SINGLE FAN  RETAIL PACK  P/N: AF610-1024D3L5,,<div class="tab-content" id="tab-description" itemprop="description">AFOX NVIDIA GT610-PCI-E 1GB DDR3 (64-bit)<br> Graphics Engine: NVIDIA Geforce GT 610<br> Bus Standard: PCI Express 2.0<br> Video Memory: DDR3 1024MB<br> 64BIT<br> DVI<br> HDMI<br> VGA<br> LP<br> SINGLE FAN<br> RETAIL PACK<br> P/N: AF610-1024D3L5 </div>,17352_0-1000x1000.jpg,AFOX-NVIDIA-GT610-PCI-E-1GB-DDR3-(64-bit), 690,SE_17352,SE_17352,3,11,Graficki
Компјутерски компоненти/Графички карти,AFOX,AFOX Radeon R5 230,,SE_17270,2739.0,0,1,,18,0,1,0,,,AFOX Radeon R5 230  1GB DDR3 64Bit  DVI  HDMI  VGA  LP  Single Fan,,<div class="tab-content" id="tab-description" itemprop="description">AFOX Radeon R5 230<br> 1GB DDR3 64Bit<br> DVI<br> HDMI<br> VGA<br> LP<br> Single Fan </div>,17270_0-1000x1000.jpg,AFOX-Radeon-R5-230, 690,SE_17270,SE_17270,3,11,Graficki
Компјутерски компоненти/Графички карти,AFOX,AFOX Radeon R5 230 2GB DDR3 64Bit,,SE_17271,2939.0,0,1,,3,0,1,0,,,AFOX Radeon R5 230 2GB DDR3 64Bit  DVI  HDMI  VGA  LP  Single Fan,,<div class="tab-content" id="tab-description" itemprop="description">AFOX Radeon R5 230 2GB DDR3 64Bit<br> DVI<br> HDMI<br> VGA<br> LP<br> Single Fan </div>,17271_0-1000x1000.jpg,AFOX-Radeon-R5-230-2GB-DDR3-64Bit, 690,SE_17271,SE_17271,3,11,Graficki
Компјутерски компоненти/Графички карти,Asus,ASUS R5230-SL-1GD3-L,,SE_16802,2939.0,0,1,,2,0,1,0,,,ASUS R5230-SL-1GD3-L  Graphics Engine: AMD Radeon R5 230  Bus Standard: PCI Express 2.1  Engine Clock: 625 MHz  Memory Clock: 1200 MHz ( 600 MHz DDR3 )  64-bit  Resolution: DVI Max Resolution : 2560x1600  Interface: D-Sub x 1  DVI x 1  HDMI x 1  HDCP Support  90YV06B0-M0NA00,,<div class="tab-content" id="tab-description" itemprop="description">ASUS R5230-SL-1GD3-L<br> Graphics Engine: AMD Radeon R5 230<br> Bus Standard: PCI Express 2.1<br> Engine Clock: 625 MHz<br> Memory Clock: 1200 MHz ( 600 MHz DDR3 )<br> 64-bit<br> Resolution: DVI Max Resolution : 2560x1600<br> Interface: D-Sub x 1<br> DVI x 1<br> HDMI x 1<br> HDCP Support<br> 90YV06B0-M0NA00 </div>,16802_0-1000x1000.jpg,ASUS-R5230-SL-1GD3-L,1050,SE_16802,SE_16802,8,11,Graficki
Компјутерски компоненти/Графички карти,AFOX,AFOX Geforce GT710,,SE_17269,3329.0,0,1,,1,0,1,0,,,AFOX Geforce GT710  2GB DDR3 64Bit  DVI  HDMI  VGA  LP  Single Fan,,<div class="tab-content" id="tab-description" itemprop="description">AFOX Geforce GT710<br> 2GB DDR3 64Bit<br> DVI<br> HDMI<br> VGA<br> LP<br> Single Fan </div>,17269_0-1000x1000.jpg,AFOX-Geforce-GT710, 690,SE_17269,SE_17269,3,11,Graficki
Компјутерски компоненти/Графички карти,Asus,ASUS GeForce 710 2GB DDR3 EVO,,SE_17403,3629.0,0,1,,112,0,1,0,,,ASUS GeForce 710 2GB DDR3 EVO  NVIDIA GeForce GT 710  PCI Express 2.0  OpenGL4.5  Video Memory: 2GB DDR3  Engine Clock: 954 MHz  CUDA Core: 192  Memory Speed: 900 MHz  Memory Interface: 64-bit  Digital Max Resolution: 2560 x 1600  Interface: Yes x 1 (Native DVI-D)  Yes x 1 (D-Sub)  Yes x 1 (Native HDMI 1.4b)  HDCP Support Yes (1.4)  Maximum Display Support: 3  Dimensions: 17 x 6.9 x 3.9 cm  Recommended PSU: 300W  Slot: 2 Slot  GT710-SL-2GD3-BRK-EVO,,<div class="tab-content" id="tab-description" itemprop="description">ASUS GeForce 710 2GB DDR3 EVO<br> NVIDIA GeForce GT 710<br> PCI Express 2.0<br> OpenGL4.5<br> Video Memory: 2GB DDR3<br> Engine Clock: 954 MHz<br> CUDA Core: 192<br> Memory Speed: 900 MHz<br> Memory Interface: 64-bit<br> Digital Max Resolution: 2560 x 1600<br> Interface: Yes x 1 (Native DVI-D)<br> Yes x 1 (D-Sub)<br> Yes x 1 (Native HDMI 1.4b)<br> HDCP Support Yes (1.4)<br> Maximum Display Support: 3<br> Dimensions: 17 x 6.9 x 3.9 cm<br> Recommended PSU: 300W<br> Slot: 2 Slot<br> GT710-SL-2GD3-BRK-EVO </div>,17403_0-1000x1000.jpg,ASUS-GeForce-710-2GB-DDR3-EVO,1050,SE_17403,SE_17403,8,11,Graficki
Компјутерски компоненти/Графички карти,AFOX,AFOX NVIDIA GT630-PCI-E 4GB DDR3,,SE_16793,3909.0,0,1,,100,0,1,0,,,AFOX NVIDIA GT630-PCI-E 4GB DDR3  PCI Express 2.0  Video Memory DDR3: 4096MB  Core Clock: 810 MHz  Memory Clock: 1333 MHz  Memory Interface: 128-Bit  DVI Output Yes x 1  HDMI Output Yes x 1  D-Sub Output Yes x 1  HDCP Support  AF630-4096D3L2,,<div class="tab-content" id="tab-description" itemprop="description">AFOX NVIDIA GT630-PCI-E 4GB DDR3<br> PCI Express 2.0<br> Video Memory DDR3: 4096MB<br> Core Clock: 810 MHz<br> Memory Clock: 1333 MHz<br> Memory Interface: 128-Bit<br> DVI Output Yes x 1<br> HDMI Output Yes x 1<br> D-Sub Output Yes x 1<br> HDCP Support<br> AF630-4096D3L2 </div>,16793_0-1000x1000.jpg,AFOX-NVIDIA-GT630-PCI-E-4GB-DDR3,1050,SE_16793,SE_16793,3,11,Graficki
