Category,Brand,Product,Variant,SKU,Price,Old Price,Currency,Weight,Stock,Units,Visible,Featured,Meta title,Meta keywords,Meta description,Annotation,Description,Images,URL,Garancija,Sifra na artikl,Sifra,BrendID,KategorijaID,Kategorija
Компјутерски компоненти/Хард-дискови и SSD,Toshiba,HDD 500GB Toshiba,,SE_38420,589.0,0,1,,0,0,1,0,,,HDD 500GB Toshiba  7200rpm  32MB Cache SATA-3  6.0Gb/s Deskstar  DT01ACA050,,<div class="tab-content" id="tab-description" itemprop="description">HDD 500GB Toshiba<br> 7200rpm<br> 32MB Cache SATA-3<br> 6.0Gb/s Deskstar<br> DT01ACA050 </div>,38420_0-1000x1000.jpg,HDD-500GB-Toshiba, 690,SE_38420,SE_38420,63,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Kingston,Kingston SSD Installation Kit,,SE_26626,669.0,0,1,,105,0,1,0,,,Kingston SSD Installation Kit  SNA-B,,<div class="tab-content" id="tab-description" itemprop="description">Kingston SSD Installation Kit<br> SNA-B </div>,26626_0-1000x1000.jpg,Kingston-SSD-Installation-Kit, 30,SE_26626,SE_26626,34,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,A-Data 120GB SSD,,SE_50442,779.0,0,1,,12,0,1,0,,,A-Data 120GB SSD  SU650 SATA 6Gb/s M.2 2280 Solid State Drive  R/W speed up to 550/510MB/s  ASU650NS38-120GT-C,,<div class="tab-content" id="tab-description" itemprop="description">A-Data 120GB SSD<br> SU650 SATA 6Gb/s M.2 2280 Solid State Drive<br> R/W speed up to 550/510MB/s<br> ASU650NS38-120GT-C </div>,50442_0-1000x1000.jpg,A-Data-120GB-SSD,1740,SE_50442,SE_50442,70,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,AFOX,AFOX 120GB SATA SSD,,SE_54431,829.0,0,1,,125,0,1,0,,,AFOX 120GB SATA SSD  Form factor: 2.5"  Interface: SATA III (6Gb/s)  Reading speed 510 MB/s  Writing speed 430 MB/s  3D TLC w/o  SD250-120GN,,<div class="tab-content" id="tab-description" itemprop="description">AFOX 120GB SATA SSD<br> Form factor: 2.5"<br> Interface: SATA III (6Gb/s)<br> Reading speed - 510 MB/s<br> Writing speed - 430 MB/s<br> 3D TLC w/o<br> SD250-120GN </div>,54431_0-1000x1000.jpg,AFOX-120GB-SATA-SSD, 720,SE_54431,SE_54431,3,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,ADATA 120GB SSD,,SE_48358,859.0,0,1,,34,0,1,0,,,ADATA 120GB SSD  SU650 SATA 6Gb/s 2.5" Solid State Drive  R/W speed up to 520/450MB/s  ASU650SS-120GT-R,,<div class="tab-content" id="tab-description" itemprop="description">ADATA 120GB SSD<br> SU650 SATA 6Gb/s 2.5" Solid State Drive<br> R/W speed up to 520/450MB/s<br> ASU650SS-120GT-R </div>,48358_0-1000x1000.jpg,ADATA-120GB-SSD,1050,SE_48358,SE_48358,70,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Kingston,Kingston 120GB,,SE_48080,979.0,0,1,,15,0,1,0,,,Kingston 120GB  form factor: M.2 2280  Interface SATA Rev. 3.0 (6Gb/s) – with backwards compatibility to SATA Rev. 2.0 (3Gb/s)  up to 500MB/s read  up to 320MB/s write  SA400M8/120G,,<div class="tab-content" id="tab-description" itemprop="description">Kingston 120GB<br> form factor: M.2 2280<br> Interface SATA Rev. 3.0 (6Gb/s) – with backwards compatibility to SATA Rev. 2.0 (3Gb/s)<br> up to 500MB/s read<br> up to 320MB/s write<br> SA400M8/120G </div>,48080_0-1000x1000.jpg,Kingston-120GB, 720,SE_48080,SE_48080,34,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,ADATA 240GB SSD,,SE_48355,979.0,0,1,,123,0,1,0,,,ADATA 240GB SSD  SU630 SATA 6Gb/s 2.5" Solid State Drive  R/W speed up to 520/450MB/s  ASU630SS-240GQ-R,,<div class="tab-content" id="tab-description" itemprop="description">ADATA 240GB SSD<br> SU630 SATA 6Gb/s 2.5" Solid State Drive<br> R/W speed up to 520/450MB/s<br> ASU630SS-240GQ-R </div>,48355_0-1000x1000.jpg,ADATA-240GB-SSD,1050,SE_48355,SE_48355,70,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Toshiba,SanDisk X600 SSD M.2 2280 SATA3 128GB SD9SN8W-128G,,SE_48734,979.0,0,1,,1,0,1,0,,,SanDisk X600 SSD M.2 2280 SATA3 128GB SD9SN8W-128G,,<div class="tab-content" id="tab-description" itemprop="description">SanDisk X600 SSD M.2 2280 SATA3 128GB SD9SN8W-128G </div>,48734_0-1000x1000.jpg,SanDisk-X600-SSD-M.2-2280-SATA3-128GB-SD9SN8W-128G, 180,SE_48734,SE_48734,63,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,TeamGroup,TeamGroup 60GB LS Evo SSD,,SE_45804,979.0,0,1,,2,0,1,0,,,TeamGroup 60GB LS Evo SSD  2 5" SATA III  Speed: Up to 460MB/s Max ; Write: 200MB/s,,<div class="tab-content" id="tab-description" itemprop="description">TeamGroup 60GB LS Evo SSD<br> 2<br>5" SATA III<br> Speed: Up to 460MB/s Max ; Write: 200MB/s </div>,45804_0-1000x1000.jpg,TeamGroup-60GB-LS-Evo-SSD, 720,SE_45804,SE_45804,61,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,AFOX,AFOX 240GB SATA SSD,,SE_54432,1029.0,0,1,,128,0,1,0,,,AFOX 240GB SATA SSD  Form factor: 2.5"  Interface: SATA III (6Gb/s)  Reading speed 560 MB/s  Writing speed 520 MB/s  3D TLC w/o  SD250-240GN,,<div class="tab-content" id="tab-description" itemprop="description">AFOX 240GB SATA SSD<br> Form factor: 2.5"<br> Interface: SATA III (6Gb/s)<br> Reading speed - 560 MB/s<br> Writing speed - 520 MB/s<br> 3D TLC w/o<br> SD250-240GN </div>,54432_0-1000x1000.jpg,AFOX-240GB-SATA-SSD, 720,SE_54432,SE_54432,3,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Kingston,Kingston 120GB A400 SSD SATA3,,SE_45290,1069.0,0,1,,136,0,1,0,,,Kingston 120GB A400 SSD SATA3  Form factor: 2 5"  Data Transfer: up to 500MB/s Read and 320MB/s Write  Dimensions: 100.0mm x 69.9mm x 7.0mm  Weight: 41g  SA400S37/120G,,<div class="tab-content" id="tab-description" itemprop="description">Kingston 120GB A400 SSD SATA3<br> Form factor: 2<br>5"<br> Data Transfer: up to 500MB/s Read and 320MB/s Write<br> Dimensions: 100.0mm x 69.9mm x 7.0mm<br> Weight: 41g<br> SA400S37/120G </div>,45290_0-1000x1000.jpg,Kingston-120GB-A400-SSD-SATA3, 720,SE_45290,SE_45290,34,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,A-Data 240GB SSD,,SE_50400,1069.0,0,1,,25,0,1,0,,,A-Data 240GB SSD  SU650 SATA 6Gb/s M.2 2280 Solid State Drive  R/W speed up to 550/510MB/s  ASU650NS38-240GT-C,,<div class="tab-content" id="tab-description" itemprop="description">A-Data 240GB SSD<br> SU650 SATA 6Gb/s M.2 2280 Solid State Drive<br> R/W speed up to 550/510MB/s<br> ASU650NS38-240GT-C </div>,50400_0-1000x1000.jpg,A-Data-240GB-SSD,1740,SE_50400,SE_50400,70,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Kingston,Kingston 240GB A400 SSD SATA3,,SE_45291,1169.0,0,1,,136,0,1,0,,,Kingston 240GB A400 SSD SATA3  Form factor: 2 5"  Data Transfer: up to 500MB/s Read and 350MB/s Write  Dimensions: 100.0mm x 69.9mm x 7.0mm  Weight: 41g  SA400S37/240G,,<div class="tab-content" id="tab-description" itemprop="description">Kingston 240GB A400 SSD SATA3<br> Form factor: 2<br>5"<br> Data Transfer: up to 500MB/s Read and 350MB/s Write<br> Dimensions: 100.0mm x 69.9mm x 7.0mm<br> Weight: 41g<br> SA400S37/240G </div>,45291_0-1000x1000.jpg,Kingston-240GB-A400-SSD-SATA3, 720,SE_45291,SE_45291,34,kategorijaID,HardDisk
